Dataset,Execution,Time,Fitness_train,Fitness_test,Number_of_nodes,Number_of_nodes_real,Depth,Expression
airfoil,1,769.222273001,4.3828529693719,4.366334378958552,26,42,9,"+(myprod(mysqrt(+(-(-39174.568*Suction side displacement thickness(m), -(mydiv(-(-26157.76, -8.753*Frequency(Hz)), -41310.654*Suction side displacement thickness(m)), -(-(0.397*Frequency(Hz), 2598.321), -(-23.348*Free-stream velocity(m/s), -72.999*Angle of attack(degrees))))), -(-0.813*Frequency(Hz), -(6303.163*Chord length(m), 17256.687)))), 1.012), 9.72)"
airfoil,2,648.079098399,3.755685008639214,3.4646889463342716,27,43,9,"+(myprod(-(mysqrt(3468.311), +(mysquare(mylog(+(myprod(-0.111*Chord length(m), -0.121*Frequency(Hz)), myexp(-8253.608*Chord length(m))))), +(+(-0.051*Free-stream velocity(m/s), myprod(+(-1.017*Suction side displacement thickness(m), 0.031*Chord length(m)), -(-0.044*Frequency(Hz), -155.593))), 213.672*Suction side displacement thickness(m)))), 1.627), 31.868)"
airfoil,3,522.298707399,3.9851107212319117,4.015980216462079,32,50,9,"+(myprod(+(+(-(0.001*Frequency(Hz), myprod(mylog(mydiv(0.006*Chord length(m), 0.001*Suction side displacement thickness(m))), myprod(0.334*Frequency(Hz), mysqrt(0.001*Suction side displacement thickness(m))))), +(+(-217.389*Suction side displacement thickness(m), mydiv(149.856, -(-3522.715*Suction side displacement thickness(m), 0.02*Frequency(Hz)))), 0.086*Free-stream velocity(m/s))), mysqrt(myprod(mysqrt(61.664), mysquare(-45.93)))), 1.006), 1.671)"
airfoil,4,1107.3115526,3.909518181359161,3.7559304543061054,35,65,8,"+(myprod(-(0.713*Free-stream velocity(m/s), -(-(-(-0.009*Frequency(Hz), -(-2.124*Angle of attack(degrees), 52.029*Chord length(m))), myprod(-(-3.216*Angle of attack(degrees), -0.01*Frequency(Hz)), +(-8.824*Chord length(m), -0.0*Frequency(Hz)))), myprod(myprod(-(-1.056*Angle of attack(degrees), 12.032), -(0.0*Frequency(Hz), -1.169*Suction side displacement thickness(m))), myprod(-(-36.967*Angle of attack(degrees), -0.019*Frequency(Hz)), +(-0.531*Chord length(m), -0.0*Frequency(Hz)))))), 0.143), 125.09)"
airfoil,5,486.207034601,4.209335537026393,4.122746018559089,20,36,8,"+(myprod(+(-0.007*Frequency(Hz), -(+(-376.796*Suction side displacement thickness(m), mydiv(0.005*Frequency(Hz), myexp(132.297*Suction side displacement thickness(m)))), -(28.827*Chord length(m), +(mydiv(0.0*Frequency(Hz), 6.875*Chord length(m)), 0.227*Free-stream velocity(m/s))))), 0.424), 127.877)"
airfoil,6,922.4359658,3.4523172079664124,3.4485552974319247,35,63,9,"+(myprod(+(130.948, +(+(+(-267.777*Suction side displacement thickness(m), -24.485*Chord length(m)), -(0.091*Free-stream velocity(m/s), myprod(-0.018*Frequency(Hz), -0.01*Angle of attack(degrees)))), +(+(0.199*Angle of attack(degrees), +(0.203*Angle of attack(degrees), -0.001*Frequency(Hz))), myprod(-(mysqrt(318.357*Frequency(Hz)), +(2492.299*Chord length(m), 0.448*Frequency(Hz))), mydiv(mylog(0.293*Chord length(m)), myprod(2.12*Frequency(Hz), 2.12*Chord length(m))))))), 0.985), -0.785)"
airfoil,7,480.040055901,4.247821057857579,4.205134666390162,27,45,9,"+(myprod(mysqrt(+(+(+(-6475.073*Chord length(m), mysqrt(myprod(-1590.726*Free-stream velocity(m/s), -8660.517*Suction side displacement thickness(m)))), myexp(-(mylog(0.681*Frequency(Hz)), -(-0.025*Angle of attack(degrees), -350.647*Suction side displacement thickness(m))))), +(-129194.29*Suction side displacement thickness(m), -(-79.385*Angle of attack(degrees), +(-20133.204, 0.638*Frequency(Hz)))))), 0.988), -9.313)"
airfoil,8,813.086589899,4.201161245830937,4.0732997462667475,25,47,9,"+(myprod(+(-0.48*Angle of attack(degrees), +(+(-35.372*Chord length(m), +(1.693*Chord length(m), myprod(mydiv(12276.348*Suction side displacement thickness(m), 45285.386*Frequency(Hz)), +(11189.259*Free-stream velocity(m/s), -51871.798*Angle of attack(degrees))))), -(0.213*Free-stream velocity(m/s), myprod(+(574.376*Suction side displacement thickness(m), 38.41*Chord length(m)), 0.0*Frequency(Hz))))), 0.36), 128.091)"
airfoil,9,438.679472799,4.185679634094457,4.047991424089882,22,38,9,"+(myprod(-(-(125.139, -(-0.082*Free-stream velocity(m/s), myprod(mysqrt(mydiv(0.058*Suction side displacement thickness(m), 6.361*Chord length(m))), myprod(+(0.004*Angle of attack(degrees), -4.863*Chord length(m)), -(0.136*Frequency(Hz), 26.439*Angle of attack(degrees)))))), 330.336*Suction side displacement thickness(m)), 1.0), 0.999)"
airfoil,10,342.035362501,4.1349459264214445,3.873198719135665,18,26,10,"+(myprod(mysqrt(mysqrt(mysquare(-(-(myprod(mydiv(-15998.262*Suction side displacement thickness(m), 84442.718), -596.884*Frequency(Hz)), 1773.245), myprod(-1.028*Chord length(m), 6.948*Frequency(Hz)))))), -0.147), 132.562)"
